j,psi,blm_firm_type
95,0.285308429202821,4
96,0.160325841686039,9
97,0.0773971519053886,9
98,0.904678665120712,6
99,-0.634765797899161,3
100,-0.408525120689992,3
101,0.215203973850161,6
102,0.0469880469265191,8
103,-0.32604107969833,7
104,0.504334187646597,4
105,0.358171661886031,9
106,0.594266596102187,6
107,-0.492957498329897,3
108,-0.962454140096647,5
109,-0.00478748331649327,8
110,-0.174578762201825,7
111,-0.990459994831429,5
112,-0.48894916819929,7
113,-0.0737774133025709,8
114,-1.0183187369883,5
115,-1.01201364518005,5
116,0.450992166778047,4
117,-0.600198738156266,5
118,-0.437749020712978,8
119,0.17218544430982,1
120,-0.668979329416004,7
121,-0.4056595645027,3
122,0.409686362922507,9
123,-0.383022790538114,8
124,0.406347910196696,9
125,-1.32485004167215,5
126,-0.701471868191673,0
127,0.405274257198556,2
128,0.291231722391714,9
129,0.00103778277913307,9
130,-0.190424466008048,8
131,-0.226439174534211,8
132,-0.0059569096753347,2
133,0.656582953061655,6
134,-0.227138032429659,7
135,0.663757679265644,4
136,-0.976118961693366,0
137,0.0567689602720744,9
138,0.97317653445804,6
139,0.25880186443384,1
140,-0.744708039813376,5
141,0.693194802831818,6
142,-0.483280283482613,5
143,0.0767377500748686,2
144,0.557547849203112,6
145,-0.403847698511329,5
146,-0.0912732991143429,2
147,-0.655636296345473,5
148,0.421369198891991,9
149,0.076295264493462,9
150,0.217572384817066,2
151,-0.395914380714417,8
152,-0.357451628805958,8
153,-0.150096423377769,9
154,-0.173076149594613,8
155,-0.173428474790325,9
156,-0.268016721660846,8
157,0.205333519208887,1
158,-0.219663160904696,8
159,-0.322988693601586,7
160,-0.763918937976516,5
161,0.61371402185206,4
162,-1.0321492261225,0
163,-0.122523208153981,2
164,-0.178661954892664,9
165,0.188716831868813,1
166,-0.42711208048262,2
167,-0.198743445675248,8
168,0.602093307464703,1
169,-0.34627906685805,5
170,-0.932142132172588,0
171,0.744468648440639,6
172,0.220663512684922,9
173,-0.280825754120429,5
174,-0.476775540745471,5
175,-1.24732126503976,0
176,0.473966926866136,9
177,-0.261440351629428,2
178,-1.06193104597992,0
179,0.125857246040929,9
180,0.264349463315212,1
181,0.0231602879684078,8
182,0.183816399031896,1
183,-0.0216424470000918,2
184,0.55920396625891,6
185,0.186352975815346,1
186,0.398586025482201,1
187,-0.221905749085498,8
188,-0.296537243648261,8
189,0.493408023931291,4
190,0.0964113165476908,9
191,-0.0965941399771105,2
192,0.199525308188478,2
193,-0.287718086747803,9
194,0.699040492993218,6
195,-0.659439753604147,5
196,0.0628257969495909,8
197,0.128709208540329,1
198,0.426036058023838,4
199,0.457318189811199,4
200,-0.073619195165364,8
201,-0.571992525699067,7
202,0.197057770669049,2
203,0.436693795956889,9
204,0.16234896388153,9
205,-0.389253930892612,8
206,0.0280975136700362,2
207,-0.805556036729699,0
208,0.00460784251467183,2
209,-0.0343292766836851,2
210,0.3690494636152,9
211,-0.329039878937835,3
212,-1.22285766150373,0
213,0.146542370764831,9
214,-0.487371196623718,7
215,0.231650487736204,9
216,-0.394549577478468,8
217,-0.533559681926788,7
218,-0.123744022420312,2
219,-0.815288489378081,0
220,-0.343475472470289,8
221,-0.0436870877513591,8
222,-0.376842293409572,7
223,0.150334316584382,8
224,-0.084033175793185,2
225,-0.283346333855435,2
226,0.548948429218617,9
227,-0.229910200695241,7
228,-0.113762114004877,8
229,0.224723768957726,1
230,0.566053154837461,4
231,-0.826825903822312,5
232,-0.550706448252744,5
233,-0.459578048883352,2
234,0.152644652798937,2
235,-0.0583611558733546,8
236,0.568335396105952,1
237,-0.598078346982692,5
238,-0.0513570951110105,8
239,0.155622755531413,2
240,-1.01712484177002,0
241,-0.320121901316817,9
242,0.913365445785541,4
243,-0.133102787523658,8
244,-0.212890908378476,9
245,0.494282386926533,1
246,0.405037259420758,9
247,0.39127875007097,1
248,0.0880679942766391,2
249,-0.149885188403711,7
250,0.304497999616737,4
251,0.197330086946086,9
252,0.281223580795868,9
253,0.658235889444152,1
254,-0.248534798337078,7
255,-0.851280545980636,0
256,-1.09745213858495,5
257,0.738959912395377,6
258,-0.157551877132711,7
259,-0.44081440240345,5
260,-0.553465592330836,7
261,-0.465337445219698,3
262,-0.0699043452232419,8
263,-0.253130527792918,8
264,-0.512673600460274,8
265,-0.105934144299052,2
266,0.313334023705327,4
267,-0.788315145432204,0
268,1.24318885243166,6
269,-0.0390224317104084,2
270,0.434931127611122,9
271,0.0104292545831385,8
272,0.499369946920751,1
273,0.541003168612106,6
274,0.985965988561169,6
275,-0.421677022447294,7
276,1.06483426884597,6
277,0.00102051916579039,9
278,-0.177302213395718,8
279,-1.48544118062955,0
280,-0.991887212016997,0
281,-0.143428957373898,2
282,0.262971313204695,4
283,-0.286277058221738,5
284,-0.162158138833604,2
285,-0.506416218413942,7
286,0.893926501999446,4
287,-0.538171605108369,3
288,0.235915411517782,4
289,0.0911606578345781,8
290,0.038127618315084,9
291,0.193974654234949,9
292,-0.216593073221085,9
293,0.13684253794772,9
294,0.719344211188655,4
295,-0.128203770565416,7
296,0.630116196177748,4
297,-0.230898959292882,8
298,-0.0664131989349691,2
299,0.0172351710896311,9
300,-0.197584929689415,2
301,-0.154499577191578,8
302,0.15379939636624,1
303,-0.941978704317813,5
304,0.913242038148433,6
305,-0.088982501668284,8
306,0.182072703874825,9
307,0.193649098811191,9
308,0.414459425525615,4
309,-0.701449026206123,2
310,0.0417330293348273,9
311,0.302977765837356,1
312,0.250524705859024,1
313,0.0504815666351556,4
314,-0.5504318600935,5
315,-0.141048867094792,8
316,-1.20563947341765,0
317,-0.00103775268145969,8
318,0.254012315892501,2
